,bearish,bullish,date,title,yqdopen,yqdclose7d,yqdclose30d,yqdclose6m,dayreturn7d,dayreturn30d,dayreturn6m,indreturn7d,indreturn30d,indreturn6m,enddate
0,['RDN'],"['ULTA', 'AB']",8/1/17,Ulta Beauty Is A Good Stock - Cramer's Lightning Round (7/31/17),"[['2017-08-01', '255.270004'], ['2017-08-01', '24.457037']]","[['2017-08-09', '253.080002'], ['2017-08-09', '24.400000']]","[['2017-09-05', '223.899994'], ['2017-09-05', '23.350000']]","[['2017-10-20', '204.660004'], ['2017-10-20', '25.400000']]",-0.00803297,-0.116102637,-0.177555365,"[-0.008579159187069989, -0.002332130421195385]","[-0.12288952680864144, -0.04526455923503727]","[-0.19826066207136508, 0.03855589702055891]",2/1/18
1,"['HSBC', 'JPM', 'RRD', 'KITE', 'PFE', 'ABT', 'TUP']","['APLE', 'FCX']",7/28/17,Freeport-McMoRan Has Bottomed At $12 - Cramer's Lightning Round (7/27/17),"[['2017-07-28', '18.053425'], ['2017-07-28', '14.600000']]","[['2017-08-07', '18.033051'], ['2017-08-07', '14.700000']]","[['2017-08-31', '18.084114'], ['2017-08-31', '14.780000']]","[['2017-10-20', '19.000000'], ['2017-10-20', '14.805000']]",0.002438519,0.006452279,0.035266591,"[-0.0011285393214861077, 0.006849315068493127]","[0.001699899049626254, 0.012328767123287652]","[0.05243187926944606, 0.014041095890410964]",1/28/18
2,"['UCTT', 'LRCX', 'AMAT', 'KLAC', 'FAST', 'HON', 'PTCT', 'ALDR', 'PETS', 'M', 'PVH', 'CUTR', 'AGN']","['HTZ', 'KMX', 'VRX', 'AES']",7/26/17,Valeant Can Go To $20 - Cramer's Lightning Round (7/25/17),"[['2017-07-26', '16.650000'], ['2017-07-26', '66.730003'], ['2017-07-26', '17.770000'], ['2017-07-26', '11.040215']]","[['2017-08-03', '12.980000'], ['2017-08-03', '65.540001'], ['2017-08-03', '15.450000'], ['2017-08-03', '11.120000']]","[['2017-08-29', '18.920000'], ['2017-08-29', '63.560001'], ['2017-08-29', '13.240000'], ['2017-08-29', '11.170000']]","[['2017-10-20', '24.570000'], ['2017-10-20', '75.220001'], ['2017-10-20', '12.216600'], ['2017-10-20', '11.110000']]",-0.063287309,-0.04724313,0.097391584,"[-0.22042042042042032, -0.017833087764135013, -0.13055711873944853, 0.007226761435352421]","[0.13633633633633654, -0.047504898208981, -0.25492402926280244, 0.011755658743964682]","[0.4756756756756758, 0.12722909663288942, -0.31251547552054026, 0.006320981973630001]",1/26/18
3,"['CVNA', 'KMX', 'MNK']","['K', 'QCOM', 'XRX', 'AAPL', 'MAR', 'IONS', 'NXPI']",7/25/17,Qualcomm Should Pay More For NXP Semiconductors - Cramer's Lightning Round (7/24/17),"[['2017-07-25', '67.019653'], ['2017-07-25', '52.686417'], ['2017-07-25', '30.801502'], ['2017-07-25', '152.142548'], ['2017-07-25', '102.716743'], ['2017-07-25', '54.709999'], ['2017-07-25', '109.709999']]","[['2017-08-02', '66.890717'], ['2017-08-02', '52.587509'], ['2017-08-02', '32.310307'], ['2017-08-02', '156.525330'], ['2017-08-02', '103.145309'], ['2017-08-02', '50.779999'], ['2017-08-02', '110.879997']]","[['2017-08-28', '66.236092'], ['2017-08-28', '51.810001'], ['2017-08-28', '32.072079'], ['2017-08-28', '161.470001'], ['2017-08-28', '100.709999'], ['2017-08-28', '48.930000'], ['2017-08-28', '112.570000']]","[['2017-10-20', '61.439999'], ['2017-10-20', '52.041000'], ['2017-10-20', '33.325001'], ['2017-10-20', '156.490005'], ['2017-10-20', '115.010002'], ['2017-10-20', '64.139999'], ['2017-10-20', '115.809998']]",0.005848339,0.00704002,0.049964548,"[-0.001923853589633031, -0.0018772960021176152, 0.04898478652112492, 0.02880707637419081, 0.004172309084995068, -0.07183330418265968, 0.010664460948541316]","[-0.011691510846825869, -0.016634572056778867, 0.04125048836904132, 0.06130732738878536, -0.01953667865033452, -0.10564794563421584, 0.026068735995522133]","[-0.08325399715214886, -0.012250159277295359, 0.08192779040450693, 0.028574892803819685, 0.11968116045112535, 0.1723633736494859, 0.05560112164434526]",1/25/18
4,"['ENR', 'PG', 'CAKE', 'DRI', 'ESV', 'TRTN']","['UNP', 'ADBE', 'SNDR']",7/21/17,BlackBerry Is Correctly Priced - Cramer's Lightning Round (7/20/17),"[['2017-07-21', '104.243263'], ['2017-07-21', '149.520004'], ['2017-07-21', '20.906282']]","[['2017-07-31', '102.364197'], ['2017-07-31', '146.490005'], ['2017-07-31', '21.574884']]","[['2017-08-24', '103.964882'], ['2017-08-24', '150.809998'], ['2017-08-24', '21.385281']]","[['2017-10-20', '113.209999'], ['2017-10-20', '175.479996'], ['2017-10-20', '25.590000']]",-0.015438417,0.005426928,0.144211275,"[-0.018025778797810605, -0.020264840281839502, 0.03198091367943855]","[-0.002670493919592636, 0.00862756798749154, 0.02291172576740322]","[0.08601741486162033, 0.17362219974258428, 0.22403400088069217]",1/21/18
5,['SIG'],"['UPS', 'SUPN', 'MCK', 'APO', 'CHGG']",7/19/17,Chegg Is Not Done Going Up - Cramer's Lightning Round (7/18/17),"[['2017-07-19', '112.155716'], ['2017-07-19', '43.549999'], ['2017-07-19', '164.469269'], ['2017-07-19', '27.202108'], ['2017-07-19', '13.860000']]","[['2017-07-27', '106.994110'], ['2017-07-27', '41.099998'], ['2017-07-27', '162.154617'], ['2017-07-27', '27.555637'], ['2017-07-27', '14.270000']]","[['2017-08-22', '114.599998'], ['2017-08-22', '46.299999'], ['2017-08-22', '147.937531'], ['2017-08-22', '29.459999'], ['2017-08-22', '15.040000']]","[['2017-10-20', '119.650002'], ['2017-10-20', '42.325001'], ['2017-10-20', '150.660004'], ['2017-10-20', '32.119999'], ['2017-10-20', '15.880000']]",-0.025364865,-0.021868089,-0.001666734,"[-0.04602178278635386, -0.056257199914057414, -0.014073461954767948, 0.012996382486239735, 0.029581529581529594]","[0.02179364625517616, 0.06314581086442735, -0.1005156653307676, 0.08300426569882013, 0.08513708513708512]","[0.06682036607033032, -0.028128542551746082, -0.08396258513193738, 0.18079080488909172, 0.14574314574314584]",1/19/18
6,['EXEL'],"['CCL', 'EZU', 'MGM', 'NWL', 'DATA', 'GRPN', 'LYG']",7/18/17,Tableau Software Is On Fire - Cramer's Lightning Round (7/17/17),"[['2017-07-18', '66.359024'], ['2017-07-18', '41.299999'], ['2017-07-18', '32.444660'], ['2017-07-18', '53.592934'], ['2017-07-18', '63.759998'], ['2017-07-18', '3.940000'], ['2017-07-18', '3.506245']]","[['2017-07-26', '66.309311'], ['2017-07-26', '41.689999'], ['2017-07-26', '33.760387'], ['2017-07-26', '52.498184'], ['2017-07-26', '64.980003'], ['2017-07-26', '3.760000'], ['2017-07-26', '3.594886']]","[['2017-08-21', '68.098770'], ['2017-08-21', '41.450001'], ['2017-08-21', '31.009321'], ['2017-08-21', '48.238617'], ['2017-08-21', '70.269997'], ['2017-08-21', '3.990000'], ['2017-08-21', '3.380000']]","[['2017-10-20', '65.870003'], ['2017-10-20', '43.424999'], ['2017-10-20', '30.980101'], ['2017-10-20', '40.270000'], ['2017-10-20', '78.699997'], ['2017-10-20', '4.755000'], ['2017-10-20', '3.620000']]",0.006379357,0.005790221,0.010257496,"[-0.0007491520670950678, 0.00944309950225424, 0.04055296002485471, -0.020427133173936653, 0.019134332469709196, -0.0456852791878173, 0.025280891666155665]","[0.02621717281435599, 0.003632009773172165, -0.0442396067642564, -0.09990714447542659, 0.10210161863555893, 0.012690355329949306, -0.03600575544492753]","[-0.007369321766998986, 0.051452785749462125, -0.04514021721910471, -0.24859497335973427, 0.23431617736248975, 0.20685279187817257, 0.03244354002643862]",1/18/18
7,"['KMI', 'MMP']","['ARNA', 'WGO', 'INFO', 'BMO', 'MO', 'SRE', 'XLNX']",7/14/17,Bank Of Montreal Is A Good Conservative Bank - Cramer's Lightning Round (7/13/17),"[['2017-07-14', '24.280001'], ['2017-07-14', '35.299999'], ['2017-07-14', '44.759998'], ['2017-07-14', '75.889427'], ['2017-07-14', '73.149422'], ['2017-07-14', '111.358276'], ['2017-07-14', '65.886726']]","[['2017-07-24', '24.340000'], ['2017-07-24', '35.450001'], ['2017-07-24', '45.700001'], ['2017-07-24', '76.255951'], ['2017-07-24', '71.873047'], ['2017-07-24', '112.529945'], ['2017-07-24', '63.907642']]","[['2017-08-17', '20.580000'], ['2017-08-17', '33.900002'], ['2017-08-17', '46.220001'], ['2017-08-17', '72.360001'], ['2017-08-17', '63.621105'], ['2017-08-17', '114.972580'], ['2017-08-17', '61.320000']]","[['2017-10-20', '27.230000'], ['2017-10-20', '47.500099'], ['2017-10-20', '44.040001'], ['2017-10-20', '78.276604'], ['2017-10-20', '64.769997'], ['2017-10-20', '113.798103'], ['2017-10-20', '72.220001']]",-0.001317303,-0.040987419,0.039967494,"[0.0024711283990474816, 0.00424934856230451, 0.021000961617558545, 0.004829710995182482, -0.017448873348582326, 0.01052161583392324, -0.03003767405288879]","[-0.1523888322739361, -0.03965997279490005, 0.03261847777562457, -0.046507479889128706, -0.13025826779601896, 0.03245653695285288, -0.06931177609280503]","[0.12149913008652685, 0.34561190780770273, -0.016085724579344405, 0.03145598925130912, -0.11455216966717792, 0.021909705211312663, 0.09612368658293935]",1/14/18
8,"['AKS', 'NUE', 'ESRX']","['ATNX', 'STM', 'NVDA', 'SBUX']",7/13/17,Hold On To Starbucks - Cramer's Lightning Round (7/12/17),"[['2017-07-13', '18.719999'], ['2017-07-13', '15.730661'], ['2017-07-13', '160.488708'], ['2017-07-13', '58.117645']]","[['2017-07-21', '18.440001'], ['2017-07-21', '16.388599'], ['2017-07-21', '167.952133'], ['2017-07-21', '57.719440']]","[['2017-08-16', '16.610001'], ['2017-08-16', '16.986723'], ['2017-08-16', '165.004715'], ['2017-08-16', '53.500000']]","[['2017-10-20', '17.139999'], ['2017-10-20', '19.930000'], ['2017-10-20', '197.273407'], ['2017-10-20', '54.365002']]",0.029412977,-0.003776121,0.140882857,"[-0.014957158918651792, 0.041825197300990706, 0.046504362163598455, -0.006851705708309487]","[-0.11271357439709269, 0.07984801147262673, 0.02813909499477061, -0.07945340868509043]","[-0.08440171391034806, 0.2669524821620656, 0.22920428146259356, -0.06456977050601424]",1/13/18
9,"['FTR', 'SPH', 'STNG']","['INCY', 'ALXN', 'DIS']",7/12/17,Disney Is A Long-Term Buy - Cramer's Lightning Round (7/11/17),"[['2017-07-12', '133.220001'], ['2017-07-12', '124.940002'], ['2017-07-12', '104.379997']]","[['2017-07-20', '133.789993'], ['2017-07-20', '129.809998'], ['2017-07-20', '107.360001']]","[['2017-08-15', '126.370003'], ['2017-08-15', '135.210007'], ['2017-08-15', '101.510002']]","[['2017-10-20', '113.980003'], ['2017-10-20', '139.205002'], ['2017-10-20', '99.277496']]",0.023225001,0.001517107,-0.02779693,"[0.004278576758155207, 0.038978677141369024, 0.02854956970347483]","[-0.05141869050128591, 0.08219949444214018, -0.027495641717636788]","[-0.14442274324859072, 0.1141748020782007, -0.048883896787236]",1/12/18
