,bearish,bullish,date,title,enddate,yqdopen,yqdclose
0,"['COL', 'DVAX', 'CMI', 'CVX', 'OLED', 'AAPL', 'SLCA', 'SLB', 'INO', 'AKAM']",[],20170803,"Thumbs Up For One Speculative Stock, Thumbs Down For Another - Cramer's Lightning Round (8/2/17)",20180203,[],[]
1,['RDN'],"['ULTA', 'AB']",20170801,Ulta Beauty Is A Good Stock - Cramer's Lightning Round (7/31/17),20180201,"['255.270004', '24.457037']","['204.619995', '25.100000']"
2,"['HSBC', 'JPM', 'RRD', 'KITE', 'PFE', 'ABT', 'TUP']","['FCX', 'APLE']",20170728,Freeport-McMoRan Has Bottomed At $12 - Cramer's Lightning Round (7/27/17),20180128,"['14.600000', '18.053425']","['14.810000', '19.209999']"
3,"['UCTT', 'LRCX', 'AMAT', 'KLAC', 'FAST', 'HON', 'PTCT', 'ALDR', 'PETS', 'M', 'PVH', 'CUTR', 'AGN']","['HTZ', 'KMX', 'VRX', 'AES']",20170726,Valeant Can Go To $20 - Cramer's Lightning Round (7/25/17),20180126,"['16.650000', '66.730003', '17.770000', '11.040215']","['24.590000', '74.839996', '12.480000', '11.290000']"
4,"['CVNA', 'KMX', 'MNK']","['QCOM', 'XRX', 'K', 'IONS', 'NXPI', 'AAPL', 'MAR']",20170725,Qualcomm Should Pay More For NXP Semiconductors - Cramer's Lightning Round (7/24/17),20180125,"['52.686417', '30.801502', '67.019653', '54.709999', '109.709999', '152.142548', '102.716743']","['52.290001', '33.099998', '61.700001', '63.660000', '115.489998', '155.979996', '115.199997']"
5,"['ENR', 'PG', 'CAKE', 'DRI', 'ESV', 'TRTN']","['SNDR', 'UNP', 'ADBE']",20170721,BlackBerry Is Correctly Priced - Cramer's Lightning Round (7/20/17),20180121,"['20.906282', '104.243263', '149.520004']","['24.870001', '112.010002', '171.729996']"
6,"['GME', 'EA', 'ATVI', 'TTWO', 'AMPH', 'REGN', 'CBU', 'PNC', 'NBR', 'MZOR', 'FRTA', 'NUE']","['PFE', 'CY']",20170720,Cypress Semiconductor Will Go To $17 - Cramer's Lightning Round (7/19/17),20180120,"['33.215549', '14.805070']","['36.240002', '15.610000']"
7,['SIG'],"['CHGG', 'MCK', 'SUPN', 'APO', 'UPS']",20170719,Chegg Is Not Done Going Up - Cramer's Lightning Round (7/18/17),20180119,"['13.860000', '164.469269', '43.549999', '27.202108', '112.155716']","['15.690000', '149.960007', '42.599998', '31.860001', '119.419998']"
8,['EXEL'],"['MGM', 'LYG', 'GRPN', 'CCL', 'EZU', 'DATA', 'NWL']",20170718,Tableau Software Is On Fire - Cramer's Lightning Round (7/17/17),20180118,"['32.444660', '3.506245', '3.940000', '66.359024', '41.299999', '63.759998', '53.592934']","['30.480000', '3.590000', '4.950000', '65.790001', '43.630001', '78.620003', '40.590000']"
9,"['KMI', 'MMP']","['SRE', 'MO', 'INFO', 'ARNA', 'BMO', 'XLNX', 'WGO']",20170714,Bank Of Montreal Is A Good Conservative Bank - Cramer's Lightning Round (7/13/17),20180114,"['111.358276', '73.149422', '44.759998', '24.280001', '75.889427', '65.886726', '35.299999']","['114.089996', '64.370003', '43.520000', '27.309999', '78.830002', '72.419998', '45.849998']"
10,"['AKS', 'NUE', 'ESRX']","['SBUX', 'ATNX', 'STM', 'NVDA']",20170713,Hold On To Starbucks - Cramer's Lightning Round (7/12/17),20180113,"['58.117645', '18.719999', '15.730661', '160.488708']","['55.400002', '17.080000', '19.750000', '197.800003']"
11,"['FTR', 'SPH', 'STNG']","['DIS', 'INCY', 'ALXN']",20170712,Disney Is A Long-Term Buy - Cramer's Lightning Round (7/11/17),20180112,"['104.379997', '133.220001', '124.940002']","['99.010002', '114.269997', '140.460007']"
12,"['MAT', 'HAS', 'MZOR', 'CARA']","['RTN', 'GOOS']",20170711,Raytheon Has A Lot Of Upside - Cramer's Lightning Round (7/10/17),20180111,"['165.841873', '19.049999']","['186.949997', '20.510000']"
13,"['ON', 'AVGO', 'GNC', 'UA', 'NKE', 'ORLY', 'AMZN']","['NVCR', 'PETS', 'IDXX', 'AVAV', 'NEE', 'PTLA', 'GD']",20170710,NovoCure Is A Buy - Cramer's Lightning Round (7/7/17),20180110,"['18.100000', '40.341522', '161.509995', '39.380001', '140.110931', '59.630001', '200.270676']","['18.150000', '35.869999', '161.580002', '50.639999', '153.869995', '50.470001', '211.639999']"
14,"['HAL', 'SJM', 'CBI']","['T', 'PEP', 'IIVI']",20170707,PepsiCo Is A Buy - Cramer's Lightning Round (7/6/17),20180107,"['36.521378', '114.707298', '35.450001']","['35.689999', '112.669998', '40.250000']"
15,"['LOW', 'HD', 'EXEL']","['SNV', 'PH']",20170706,Parker-Hannifin Can Reach $200 - Cramer's Lightning Round (7/5/17),20180106,"['44.526142', '158.782074']","['46.759998', '182.009995']"
16,"['AAOI', 'AVGO', 'MOS', 'AGCO', 'FPI', 'FEYE', 'PFPT', 'BGS', 'MDLZ']","['NTNX', 'ULTA', 'KEY', 'RAI']",20170626,Nutanix Is Undervalued - Cramer's Lightning Round (6/23/17),20171226,"['19.750000', '289.720001', '18.022417']","['26.340000', '204.619995', '18.250000']"
17,"['X', 'NUE', 'CRC', 'VRX']","['INCY', 'NYCB', 'HAS', 'IDXX', 'AVID', 'ABBV', 'MAT', 'ZTS', 'C', 'ALXN']",20170623,Buy Hasbro At $110 - Cramer's Lightning Round (6/22/17),20171223,"['136.279999', '12.535817', '111.311836', '167.350006', '5.050000', '71.494118', '20.495577', '62.779999', '63.117702', '126.070000']","['114.269997', '12.760000', '96.669998', '161.580002', '4.510000', '96.480003', '15.810000', '65.580002', '72.879997', '140.460007']"
18,"['SFS', 'AMZN', 'SEMG']","['AKS', 'CARA', 'NUE']",20170621,Smart & Final Cannot Compete With Amazon - Cramer's Lightning Round (6/20/17),20171221,"['6.190000', '19.500000', '55.220001']","['6.040000', '12.370000', '58.619999']"
19,"['MRO', 'MPC']","['GOOS', 'T', 'UCTT', 'HOME']",20170620,AT&T Has Growth And Dividend - Cramer's Lightning Round (6/19/17),20171220,"['20.879999', '37.689762', '20.309999', '22.530001']","['20.510000', '35.689999', '33.740002', '21.740000']"
