,bearish,bullish,date,title,enddate,yqdopen,yqdclose
0,"['COL', 'DVAX', 'CMI', 'CVX', 'OLED', 'AAPL', 'SLCA', 'SLB', 'INO', 'AKAM']",[],20170803,"Thumbs Up For One Speculative Stock, Thumbs Down For Another - Cramer's Lightning Round (8/2/17)",20180203,[],[]
1,['RDN'],"['AB', 'ULTA']",20170801,Ulta Beauty Is A Good Stock - Cramer's Lightning Round (7/31/17),20180201,"[['2017-08-01', '24.457037'], ['2017-08-01', '255.270004']]","[['2017-10-20', '25.150000'], ['2017-10-20', '204.600006']]"
2,"['HSBC', 'JPM', 'RRD', 'KITE', 'PFE', 'ABT', 'TUP']","['FCX', 'APLE']",20170728,Freeport-McMoRan Has Bottomed At $12 - Cramer's Lightning Round (7/27/17),20180128,"[['2017-07-28', '14.600000'], ['2017-07-28', '18.053425']]","[['2017-10-20', '14.970000'], ['2017-10-20', '19.070000']]"
3,"['UCTT', 'LRCX', 'AMAT', 'KLAC', 'FAST', 'HON', 'PTCT', 'ALDR', 'PETS', 'M', 'PVH', 'CUTR', 'AGN']","['KMX', 'AES', 'VRX', 'HTZ']",20170726,Valeant Can Go To $20 - Cramer's Lightning Round (7/25/17),20180126,"[['2017-07-26', '66.730003'], ['2017-07-26', '11.040215'], ['2017-07-26', '17.770000'], ['2017-07-26', '16.650000']]","[['2017-10-20', '75.269997'], ['2017-10-20', '11.185000'], ['2017-10-20', '12.173100'], ['2017-10-20', '24.900000']]"
4,"['CVNA', 'KMX', 'MNK']","['AAPL', 'K', 'NXPI', 'MAR', 'IONS', 'QCOM', 'XRX']",20170725,Qualcomm Should Pay More For NXP Semiconductors - Cramer's Lightning Round (7/24/17),20180125,"[['2017-07-25', '152.142548'], ['2017-07-25', '67.019653'], ['2017-07-25', '109.709999'], ['2017-07-25', '102.716743'], ['2017-07-25', '54.709999'], ['2017-07-25', '52.686417'], ['2017-07-25', '30.801502']]","[['2017-10-20', '157.440002'], ['2017-10-20', '61.189999'], ['2017-10-20', '115.595001'], ['2017-10-20', '114.970001'], ['2017-10-20', '63.939999'], ['2017-10-20', '52.450001'], ['2017-10-20', '33.384998']]"
5,"['ENR', 'PG', 'CAKE', 'DRI', 'ESV', 'TRTN']","['SNDR', 'ADBE', 'UNP']",20170721,BlackBerry Is Correctly Priced - Cramer's Lightning Round (7/20/17),20180121,"[['2017-07-21', '20.906282'], ['2017-07-21', '149.520004'], ['2017-07-21', '104.243263']]","[['2017-10-20', '25.379999'], ['2017-10-20', '174.460007'], ['2017-10-20', '112.730003']]"
6,['SIG'],"['SUPN', 'MCK', 'CHGG', 'UPS', 'APO']",20170719,Chegg Is Not Done Going Up - Cramer's Lightning Round (7/18/17),20180119,"[['2017-07-19', '43.549999'], ['2017-07-19', '164.469269'], ['2017-07-19', '13.860000'], ['2017-07-19', '112.155716'], ['2017-07-19', '27.202108']]","[['2017-10-20', '42.400002'], ['2017-10-20', '151.449997'], ['2017-10-20', '15.639800'], ['2017-10-20', '120.040001'], ['2017-10-20', '31.989799']]"
7,['EXEL'],"['CCL', 'DATA', 'MGM', 'LYG', 'NWL', 'GRPN', 'EZU']",20170718,Tableau Software Is On Fire - Cramer's Lightning Round (7/17/17),20180118,"[['2017-07-18', '66.359024'], ['2017-07-18', '63.759998'], ['2017-07-18', '32.444660'], ['2017-07-18', '3.506245'], ['2017-07-18', '53.592934'], ['2017-07-18', '3.940000'], ['2017-07-18', '41.299999']]","[['2017-10-20', '66.440002'], ['2017-10-20', '79.059998'], ['2017-10-20', '30.754999'], ['2017-10-20', '3.620000'], ['2017-10-20', '40.560001'], ['2017-10-20', '4.750000'], ['2017-10-20', '43.520000']]"
8,"['KMI', 'MMP']","['WGO', 'MO', 'INFO', 'ARNA', 'BMO', 'XLNX', 'SRE']",20170714,Bank Of Montreal Is A Good Conservative Bank - Cramer's Lightning Round (7/13/17),20180114,"[['2017-07-14', '35.299999'], ['2017-07-14', '73.149422'], ['2017-07-14', '44.759998'], ['2017-07-14', '24.280001'], ['2017-07-14', '75.889427'], ['2017-07-14', '65.886726'], ['2017-07-14', '111.358276']]","[['2017-10-20', '47.150002'], ['2017-10-20', '64.809998'], ['2017-10-20', '43.830502'], ['2017-10-20', '26.980000'], ['2017-10-20', '78.580002'], ['2017-10-20', '72.000000'], ['2017-10-20', '113.599998']]"
9,"['AKS', 'NUE', 'ESRX']","['NVDA', 'STM', 'SBUX', 'ATNX']",20170713,Hold On To Starbucks - Cramer's Lightning Round (7/12/17),20180113,"[['2017-07-13', '160.488708'], ['2017-07-13', '15.730661'], ['2017-07-13', '58.117645'], ['2017-07-13', '18.719999']]","[['2017-10-20', '197.970001'], ['2017-10-20', '19.825001'], ['2017-10-20', '54.889999'], ['2017-10-20', '17.020000']]"
10,"['FTR', 'SPH', 'STNG']","['ALXN', 'DIS', 'INCY']",20170712,Disney Is A Long-Term Buy - Cramer's Lightning Round (7/11/17),20180112,"[['2017-07-12', '124.940002'], ['2017-07-12', '104.379997'], ['2017-07-12', '133.220001']]","[['2017-10-20', '139.100006'], ['2017-10-20', '99.389999'], ['2017-10-20', '113.489998']]"
11,"['MAT', 'HAS', 'MZOR', 'CARA']","['RTN', 'GOOS']",20170711,Raytheon Has A Lot Of Upside - Cramer's Lightning Round (7/10/17),20180111,"[['2017-07-11', '165.841873'], ['2017-07-11', '19.049999']]","[['2017-10-20', '187.315002'], ['2017-10-20', '20.520000']]"
12,"['ON', 'AVGO', 'GNC', 'UA', 'NKE', 'ORLY', 'AMZN']","['GD', 'PTLA', 'NVCR', 'NEE', 'AVAV', 'PETS', 'IDXX']",20170710,NovoCure Is A Buy - Cramer's Lightning Round (7/7/17),20180110,"[['2017-07-10', '200.270676'], ['2017-07-10', '59.630001'], ['2017-07-10', '18.100000'], ['2017-07-10', '140.110931'], ['2017-07-10', '39.380001'], ['2017-07-10', '40.341522'], ['2017-07-10', '161.509995']]","[['2017-10-20', '212.509995'], ['2017-10-20', '50.380001'], ['2017-10-20', '18.233200'], ['2017-10-20', '153.529999'], ['2017-10-20', '51.570000'], ['2017-10-20', '36.498402'], ['2017-10-20', '164.149994']]"
13,"['HAL', 'SJM', 'CBI']","['IIVI', 'PEP', 'T']",20170707,PepsiCo Is A Buy - Cramer's Lightning Round (7/6/17),20180107,"[['2017-07-07', '35.450001'], ['2017-07-07', '114.707298'], ['2017-07-07', '36.521378']]","[['2017-10-20', '42.000000'], ['2017-10-20', '112.240097'], ['2017-10-20', '35.509998']]"
14,"['LOW', 'HD', 'EXEL']","['PH', 'SNV']",20170706,Parker-Hannifin Can Reach $200 - Cramer's Lightning Round (7/5/17),20180106,"[['2017-07-06', '158.782074'], ['2017-07-06', '44.526142']]","[['2017-10-20', '182.960007'], ['2017-10-20', '47.610802']]"
15,"['AAOI', 'AVGO', 'MOS', 'AGCO', 'FPI', 'FEYE', 'PFPT', 'BGS', 'MDLZ']","['RAI', 'NTNX', 'KEY', 'ULTA']",20170626,Nutanix Is Undervalued - Cramer's Lightning Round (6/23/17),20171226,"[['2017-06-26', '19.750000'], ['2017-06-26', '18.022417'], ['2017-06-26', '289.720001']]","[['2017-10-20', '27.020000'], ['2017-10-20', '18.459999'], ['2017-10-20', '204.315002']]"
16,"['X', 'NUE', 'CRC', 'VRX']","['NYCB', 'AVID', 'ZTS', 'MAT', 'ABBV', 'ALXN', 'INCY', 'C', 'HAS', 'IDXX']",20170623,Buy Hasbro At $110 - Cramer's Lightning Round (6/22/17),20171223,"[['2017-06-23', '12.535817'], ['2017-06-23', '5.050000'], ['2017-06-23', '62.779999'], ['2017-06-23', '20.495577'], ['2017-06-23', '71.494118'], ['2017-06-23', '126.070000'], ['2017-06-23', '136.279999'], ['2017-06-23', '63.117702'], ['2017-06-23', '111.311836'], ['2017-06-23', '167.350006']]","[['2017-10-20', '12.860000'], ['2017-10-20', '4.530000'], ['2017-10-20', '65.510002'], ['2017-10-20', '15.920000'], ['2017-10-20', '95.055000'], ['2017-10-20', '139.100006'], ['2017-10-20', '113.440002'], ['2017-10-20', '73.485001'], ['2017-10-20', '97.660004'], ['2017-10-20', '164.149994']]"
17,"['SFS', 'AMZN', 'SEMG']","['CARA', 'AKS', 'NUE']",20170621,Smart & Final Cannot Compete With Amazon - Cramer's Lightning Round (6/20/17),20171221,"[['2017-06-21', '19.500000'], ['2017-06-21', '6.190000'], ['2017-06-21', '55.220001']]","[['2017-10-20', '12.220000'], ['2017-10-20', '6.168900'], ['2017-10-20', '59.650002']]"
18,"['MRO', 'MPC']","['UCTT', 'HOME', 'T', 'GOOS']",20170620,AT&T Has Growth And Dividend - Cramer's Lightning Round (6/19/17),20171220,"[['2017-06-20', '20.309999'], ['2017-06-20', '22.530001'], ['2017-06-20', '37.689762'], ['2017-06-20', '20.879999']]","[['2017-10-20', '34.040001'], ['2017-10-20', '21.990000'], ['2017-10-20', '35.515099'], ['2017-10-20', '20.520000']]"
19,['SWIR'],"['SGYP', 'CMCSA', 'CMG', 'BX']",20170619,Chipotle Is A Buy - Cramer's Lightning Round (6/16/17),20171219,"[['2017-06-19', '4.130000'], ['2017-06-19', '41.456860'], ['2017-06-19', '458.910004'], ['2017-06-19', '32.552231']]","[['2017-10-20', '2.706700'], ['2017-10-20', '36.965000'], ['2017-10-20', '321.162506'], ['2017-10-20', '34.494999']]"
20,"['KORS', 'GT', 'CEQP', 'RIG', 'DDD', 'HPQ', 'FDX', 'MU', 'WDC', 'TOSBF']","['CLDR', 'SIRI', 'P', 'VMW', 'XPO']",20170616,Michael Kors Is A Loser - Cramer's Lightning Round (6/15/17),20171216,"[['2017-06-16', '17.400000'], ['2017-06-16', '5.170750'], ['2017-06-16', '6.990000'], ['2017-06-16', '88.099998'], ['2017-06-16', '61.520000']]","[['2017-10-20', '15.672400'], ['2017-10-20', '5.770000'], ['2017-10-20', '7.509900'], ['2017-10-20', '118.050003'], ['2017-10-20', '67.099998']]"
21,"['XYL', 'PNR', 'MELI']","['HFC', 'NXPI', 'DPZ', 'INCY', 'QCOM']",20170614,Don't Sell Domino's - Cramer's Lightning Round (6/13/17),20171214,"[['2017-06-14', '24.928991'], ['2017-06-14', '109.269997'], ['2017-06-14', '210.046295'], ['2017-06-14', '120.089996'], ['2017-06-14', '56.385441']]","[['2017-10-20', '36.299999'], ['2017-10-20', '115.595001'], ['2017-10-20', '185.339996'], ['2017-10-20', '113.430000'], ['2017-10-20', '52.450001']]"
22,['CC'],"['SCHW', 'CARA', 'ESNT', 'MGP']",20170613,Charles Schwab Will Go Up With Higher Interest Rates - Cramer's Lightning Round (6/12/17),20171213,"[['2017-06-13', '41.971252'], ['2017-06-13', '17.440001'], ['2017-06-13', '37.169998'], ['2017-06-13', '27.972130']]","[['2017-10-20', '44.134998'], ['2017-10-20', '12.220000'], ['2017-10-20', '44.980000'], ['2017-10-20', '29.280001']]"
23,"['MZOR', 'TSE', 'AXTA', 'IGT']","['SKX', 'DIS', 'NDAQ', 'TIF']",20170612,Skechers Is Inexpensive - Cramer's Lightning Round (6/9/17),20171212,"[['2017-06-12', '27.290001'], ['2017-06-12', '106.249588'], ['2017-06-12', '69.669762'], ['2017-06-12', '92.110703']]","[['2017-10-20', '32.544998'], ['2017-10-20', '99.389999'], ['2017-10-20', '72.599998'], ['2017-10-20', '94.410004']]"
24,['NOK'],"['VVV', 'GD', 'TAP', 'STZ', 'DAR', 'ADI', 'BUD', 'HII']",20170609,The Move In BlackBerry Is Done - Cramer's Lightning Round (6/8/17),20171209,"[['2017-06-09', '23.096745'], ['2017-06-09', '197.841156'], ['2017-06-09', '86.999580'], ['2017-06-09', '180.514389'], ['2017-06-09', '15.860000'], ['2017-06-09', '78.171326'], ['2017-06-09', '113.500000'], ['2017-06-09', '192.911179']]","[['2017-10-20', '24.094999'], ['2017-10-20', '212.509995'], ['2017-10-20', '83.224998'], ['2017-10-20', '211.270004'], ['2017-10-20', '17.440001'], ['2017-10-20', '89.500000'], ['2017-10-20', '125.790001'], ['2017-10-20', '235.250000']]"
25,"['XRX', 'HUN']","['ALR', 'XLNX', 'ABT']",20170608,Xerox Has No Positive Catalysts - Cramer's Lightning Round (6/7/17),20171208,"[['2017-06-08', '67.696747'], ['2017-06-08', '46.236702']]","[['2017-10-20', '72.000000'], ['2017-10-20', '56.160000']]"
26,"['TDOC', 'SRPT', 'NBR', 'PPC', 'TSN', 'ETP', 'WATT', 'PBYI']","['SIRI', 'SHOP']",20170607,Teladoc Is Heavily Shorted - Cramer's Lightning Round (6/6/17),20171207,"[['2017-06-07', '5.310500'], ['2017-06-07', '96.989998']]","[['2017-10-20', '5.775900'], ['2017-10-20', '99.315002']]"
27,"['WIN', 'FANG', 'RDUS', 'GILD']","['CRL', 'MU', 'AMD']",20170605,Charles River Laboratories Is A Good Buy - Cramer's Lightning Round (6/2/17),20171205,"[['2017-06-05', '93.610001'], ['2017-06-05', '31.209999'], ['2017-06-05', '11.240000']]","[['2017-10-20', '115.294998'], ['2017-10-20', '41.849998'], ['2017-10-20', '13.880000']]"
28,"['LITE', 'MOMO', 'BABA', 'MB', 'GWPH']","['AMAT', 'LRCX']",20170601,Yahoo Is Worth More In Parts - Cramer's Lightning Round (5/31/17),20171201,"[['2017-06-01', '45.893787'], ['2017-06-01', '155.583496']]","[['2017-10-20', '56.044998'], ['2017-10-20', '204.500000']]"
29,"['KR', 'CBI', 'DDD', 'ARNC', 'CWH', 'DY']","['SQ', 'TWTR']",20170531,Square Has A Good Product - Cramer's Lightning Round (5/30/17),20171130,"[['2017-05-31', '22.990000'], ['2017-05-31', '18.320000']]","[['2017-10-20', '32.509998'], ['2017-10-20', '17.930000']]"
30,"['IONS', 'GIII', 'PVH', 'CVI', 'VFC']","['TWLO', 'BRK.B', 'BRK.A', 'DOV']",20170526,Dover Is A Great American Company - Cramer's Lightning Round (5/25/17),20171126,"[['2017-05-26', '25.010000'], ['2017-05-26', '82.041016']]","[['2017-10-20', '31.799999'], ['2017-10-20', '93.190002']]"
31,"['TEVA', 'TRIP', 'EXPE', 'LL', 'HD', 'CHRW', 'FDX']","['NGG', 'FL', 'CARA']",20170525,Foot Locker Has Upside - Cramer's Lightning Round (5/24/17),20171125,"[['2017-05-25', '68.778046'], ['2017-05-25', '58.719219'], ['2017-05-25', '16.709999']]","[['2017-10-20', '62.259998'], ['2017-10-20', '31.469999'], ['2017-10-20', '12.230000']]"
32,['CYH'],"['GD', 'EBAY', 'SHOP', 'EXC', 'LDOS', 'CG']",20170524,Buy eBay - Cramer's Lightning Round (5/23/17),20171124,"[['2017-05-24', '198.347000'], ['2017-05-24', '34.820000'], ['2017-05-24', '90.809998'], ['2017-05-24', '35.498775'], ['2017-05-24', '54.274063'], ['2017-05-24', '17.438841']]","[['2017-10-20', '212.509995'], ['2017-10-20', '37.599998'], ['2017-10-20', '99.315002'], ['2017-10-20', '39.630001'], ['2017-10-20', '61.841202'], ['2017-10-20', '24.200001']]"
33,"['FCX', 'NRZ', 'RRC', 'NTNX', 'CRM']","['EXAS', 'AZN', 'SPLK']",20170523,Don't Give Up On Splunk - Cramer's Lightning Round (5/22/17),20171123,"[['2017-05-23', '31.900000'], ['2017-05-23', '33.564507'], ['2017-05-23', '66.430000']]","[['2017-10-20', '48.650002'], ['2017-10-20', '34.689999'], ['2017-10-20', '64.230003']]"
34,"['GILD', 'INCY', 'QRVO']",['SKT'],20170522,Gilead Should Buy Incyte - Cramer's Lightning Round (5/19/17),20171122,"[['2017-05-22', '25.634193']]","[['2017-10-20', '25.209999']]"
35,"['ALXN', 'INCY', 'X', 'NUE']","['CBSH', 'WBA', 'BDX', 'GIS', 'RAD']",20170519,Walgreens Boots Alliance Is A Win-Win - Cramer's Lightning Round (5/18/17),20171119,"[['2017-05-19', '53.668770'], ['2017-05-19', '80.212563'], ['2017-05-19', '182.757462'], ['2017-05-19', '55.203087'], ['2017-05-19', '3.460000']]","[['2017-10-20', '58.180000'], ['2017-10-20', '67.500000'], ['2017-10-20', '211.139999'], ['2017-10-20', '51.910000'], ['2017-10-20', '1.820100']]"
36,"['GILD', 'HCLP', 'TISI', 'XON']","['BMY', 'FUN', 'ARNC']",20170508,Gilead Sciences Is A Value Trap - Cramer's Lightning Round (5/5/17),20171108,"[['2017-05-08', '54.230545'], ['2017-05-08', '68.305023'], ['2017-05-08', '27.015266']]","[['2017-10-20', '64.360001'], ['2017-10-20', '63.960800'], ['2017-10-20', '27.305000']]"
37,"['CC', 'GIS']","['MO', 'RHT', 'SHOP']",20170505,Hold On To Altria - Cramer's Lightning Round (5/4/17),20171105,"[['2017-05-05', '69.603508'], ['2017-05-05', '88.610001'], ['2017-05-05', '85.529999']]","[['2017-10-20', '64.822800'], ['2017-10-20', '121.389999'], ['2017-10-20', '99.315002']]"
38,"['VLO', 'CCO']","['SWKS', 'AUPH', 'SLB', 'DRI']",20170503,"Patience With Schlumberger, Skyworks - Cramer's Lightning Round (5/2/17)",20171103,"[['2017-05-03', '100.835220'], ['2017-05-03', '7.260000'], ['2017-05-03', '70.460609'], ['2017-05-03', '86.122925']]","[['2017-10-20', '104.546204'], ['2017-10-20', '6.483000'], ['2017-10-20', '62.022800'], ['2017-10-20', '83.410004']]"
39,"['AMGN', 'MITK', 'HPE']","['BRKS', 'LUV', 'ALK']",20170502,Alaska Air Is A Good Buy - Cramer's Lightning Round (5/1/17),20171102,"[['2017-05-02', '25.884750'], ['2017-05-02', '58.073303'], ['2017-05-02', '85.854446']]","[['2017-10-20', '32.279999'], ['2017-10-20', '59.240002'], ['2017-10-20', '79.021004']]"
40,"['X', 'NUE', 'DLTH', 'BMY', 'AKS', 'LKQ', 'SNA']","['LUV', 'HA', 'CCI', 'AWK', 'AMT']",20170428,Nucor Is The Best Steel Stock - Cramer's Lightning Round (4/27/17),20171028,"[['2017-04-28', '55.972591'], ['2017-04-28', '54.299999'], ['2017-04-28', '92.871704'], ['2017-04-28', '78.935486'], ['2017-04-28', '124.708496']]","[['2017-10-20', '59.240002'], ['2017-10-20', '41.150002'], ['2017-10-20', '105.029999'], ['2017-10-20', '87.370003'], ['2017-10-20', '139.550003']]"
41,['ETP'],"['MU', 'NI', 'BWLD', 'WING', 'BX', 'REGN', 'SNY', 'APO']",20170427,Wingstop Over B-Dubs - Cramer's Lightning Round (4/26/17),20171027,"[['2017-04-27', '27.629999'], ['2017-04-27', '24.199194'], ['2017-04-27', '156.399994'], ['2017-04-27', '29.445887'], ['2017-04-27', '30.485111'], ['2017-04-27', '366.619995'], ['2017-04-27', '45.420628'], ['2017-04-27', '26.232193']]","[['2017-10-20', '41.867001'], ['2017-10-20', '26.615000'], ['2017-10-20', '109.150002'], ['2017-10-20', '33.110001'], ['2017-10-20', '34.500000'], ['2017-10-20', '430.834991'], ['2017-10-20', '49.570000'], ['2017-10-20', '31.989799']]"
42,['MGA'],"['SAGE', 'VAC', 'WYN', 'S', 'ILG', 'TMUS', 'BAC']",20170426,Buy Bank Of America - Cramer's Lightning Round (4/25/17),20171026,"[['2017-04-26', '72.160004'], ['2017-04-26', '109.763145'], ['2017-04-26', '99.350868'], ['2017-04-26', '8.910000'], ['2017-04-26', '24.095863'], ['2017-04-26', '67.580002'], ['2017-04-26', '23.690613']]","[['2017-10-20', '62.950001'], ['2017-10-20', '127.000000'], ['2017-10-20', '108.949997'], ['2017-10-20', '7.030000'], ['2017-10-20', '29.389999'], ['2017-10-20', '61.060001'], ['2017-10-20', '27.084999']]"
43,"['TEVA', 'LNCE', 'FCX']","['EQM', 'BX', 'CXW', 'ABBV', 'OCLR']",20170424,Blackstone Is A Buy - Cramer's Lightning Round (4/21/2017),20171024,"[['2017-04-24', '75.955704'], ['2017-04-24', '29.120192'], ['2017-04-24', '33.092361'], ['2017-04-24', '63.640003'], ['2017-04-24', '8.910000']]","[['2017-10-20', '72.300003'], ['2017-10-20', '34.500000'], ['2017-10-20', '26.240000'], ['2017-10-20', '95.055000'], ['2017-10-20', '8.495000']]"
44,"['GNC', 'CTL', 'IONS', 'TWTR']","['RTN', 'GD', 'LMT', 'ABB', 'NOC']",20170421,Wait For Twitter's Earnings - Cramer's Lightning Round (4/20/2017),20171021,"[['2017-04-21', '152.622101'], ['2017-04-21', '187.397156'], ['2017-04-21', '269.735107'], ['2017-04-21', '23.320000'], ['2017-04-21', '244.473495']]","[['2017-10-20', '187.315002'], ['2017-10-20', '212.600006'], ['2017-10-20', '317.329987'], ['2017-10-20', '25.416100'], ['2017-10-20', '292.796814']]"
45,"['JBLU', 'LUV', 'ALK', 'DAL', 'NTNX', 'CSCO']","['ZYNE', 'MDLZ']",20170420,Don't Sell Mondelez International - Cramer's Lightning Round (4/19/2017),20171020,"[['2017-04-20', '24.530001'], ['2017-04-20', '44.542778']]","[['2017-10-20', '9.690000'], ['2017-10-20', '40.849998']]"
46,"['AFSI', 'GIS']","['MOS', 'MTW', 'UBS']",20170414,It's Tough To Bet Against General Mills - Cramer's Lightning Round (4/13/2017),20171014,"[['2017-04-17', '26.973270'], ['2017-04-17', '5.540000'], ['2017-04-17', '14.909003']]","[['2017-10-13', '21.780001'], ['2017-10-13', '9.140000'], ['2017-10-13', '17.280001']]"
47,['MYL'],"['AMN', 'AMCX', 'TSCO', 'SMG', 'SEMG', 'CWH']",20170413,Scotts Miracle-Gro Is Showing Strength - Cramer's Lightning Round (4/12/2017),20171013,"[['2017-04-13', '40.099998'], ['2017-04-13', '58.090000'], ['2017-04-13', '62.925022'], ['2017-04-13', '92.395699'], ['2017-04-13', '33.507565'], ['2017-04-13', '29.015841']]","[['2017-10-13', '41.400002'], ['2017-10-13', '55.740002'], ['2017-10-13', '58.820000'], ['2017-10-13', '99.589996'], ['2017-10-13', '28.700001'], ['2017-10-13', '42.340000']]"
48,"['AMD', 'ESPR', 'BTU']","['BABA', 'COHR']",20170411,Alibaba Is Inexpensive Considering Its Growth Rate - Cramer's Lightning Round (4/10/2017),20171011,"[['2017-04-11', '110.440002'], ['2017-04-11', '199.250000']]","[['2017-10-11', '184.690002'], ['2017-10-11', '247.990005']]"
49,"['VRX', 'TTC', 'HD']","['ALDR', 'FRT', 'VGR', 'CRBP']",20170410,Don't Bet Against Don Wood - Cramer's Lightning Round (4/7/2017),20171010,"[['2017-04-10', '19.549999'], ['2017-04-10', '131.835068'], ['2017-04-10', '18.963400'], ['2017-04-10', '7.000000']]","[['2017-10-10', '12.250000'], ['2017-10-10', '126.750000'], ['2017-10-10', '20.730000'], ['2017-10-10', '7.100000']]"
50,"['SPH', 'UA']","['HUBS', 'TWLO', 'CX', 'TGTX']",20170407,Cramer Believes In Twilio - Cramer's Lightning Round (4/6/2017),20171007,"[['2017-04-07', '59.599998'], ['2017-04-07', '28.170000'], ['2017-04-07', '8.980769'], ['2017-04-07', '10.550000']]","[['2017-10-06', '85.800003'], ['2017-10-06', '32.349998'], ['2017-10-06', '8.940000'], ['2017-10-06', '12.300000']]"
51,['EGLE'],"['GOLD', 'ALKS', 'GLD', 'VZ', 'BAC', 'NKTR']",20170404,Verizon Is A Buy - Cramer's Lightning Round (4/3/2017),20171004,"[['2017-04-04', '89.389999'], ['2017-04-04', '58.750000'], ['2017-04-04', '119.620003'], ['2017-04-04', '47.527607'], ['2017-04-04', '23.244370'], ['2017-04-04', '22.360001']]","[['2017-10-04', '98.320000'], ['2017-10-04', '51.869999'], ['2017-10-04', '121.169998'], ['2017-10-04', '49.308460'], ['2017-10-04', '25.709999'], ['2017-10-04', '24.910000']]"
