,bearish,bullish,date,title,enddate,yqdopen,yqdclose6m,yqdclose30d,yqdclose7d
0,"['COL', 'DVAX', 'CMI', 'CVX', 'OLED', 'AAPL', 'SLCA', 'SLB', 'INO', 'AKAM']",[],20170803,"Thumbs Up For One Speculative Stock, Thumbs Down For Another - Cramer's Lightning Round (8/2/17)",20180203,[],[],[],[]
1,['RDN'],"['ULTA', 'AB']",20170801,Ulta Beauty Is A Good Stock - Cramer's Lightning Round (7/31/17),20180201,"[['2017-08-01', '255.270004'], ['2017-08-01', '24.457037']]","[['2017-10-20', '204.660004'], ['2017-10-20', '25.400000']]","[['2017-09-05', '223.899994'], ['2017-09-05', '23.350000']]","[['2017-08-09', '253.080002'], ['2017-08-09', '24.400000']]"
2,"['HSBC', 'JPM', 'RRD', 'KITE', 'PFE', 'ABT', 'TUP']","['APLE', 'FCX']",20170728,Freeport-McMoRan Has Bottomed At $12 - Cramer's Lightning Round (7/27/17),20180128,"[['2017-07-28', '18.053425'], ['2017-07-28', '14.600000']]","[['2017-10-20', '19.000000'], ['2017-10-20', '14.805000']]","[['2017-08-31', '18.084114'], ['2017-08-31', '14.780000']]","[['2017-08-07', '18.033051'], ['2017-08-07', '14.700000']]"
3,"['UCTT', 'LRCX', 'AMAT', 'KLAC', 'FAST', 'HON', 'PTCT', 'ALDR', 'PETS', 'M', 'PVH', 'CUTR', 'AGN']","['HTZ', 'KMX', 'VRX', 'AES']",20170726,Valeant Can Go To $20 - Cramer's Lightning Round (7/25/17),20180126,"[['2017-07-26', '16.650000'], ['2017-07-26', '66.730003'], ['2017-07-26', '17.770000'], ['2017-07-26', '11.040215']]","[['2017-10-20', '24.570000'], ['2017-10-20', '75.220001'], ['2017-10-20', '12.216600'], ['2017-10-20', '11.110000']]","[['2017-08-29', '18.920000'], ['2017-08-29', '63.560001'], ['2017-08-29', '13.240000'], ['2017-08-29', '11.170000']]","[['2017-08-03', '12.980000'], ['2017-08-03', '65.540001'], ['2017-08-03', '15.450000'], ['2017-08-03', '11.120000']]"
4,"['CVNA', 'KMX', 'MNK']","['K', 'QCOM', 'XRX', 'AAPL', 'MAR', 'IONS', 'NXPI']",20170725,Qualcomm Should Pay More For NXP Semiconductors - Cramer's Lightning Round (7/24/17),20180125,"[['2017-07-25', '67.019653'], ['2017-07-25', '52.686417'], ['2017-07-25', '30.801502'], ['2017-07-25', '152.142548'], ['2017-07-25', '102.716743'], ['2017-07-25', '54.709999'], ['2017-07-25', '109.709999']]","[['2017-10-20', '61.439999'], ['2017-10-20', '52.041000'], ['2017-10-20', '33.325001'], ['2017-10-20', '156.490005'], ['2017-10-20', '115.010002'], ['2017-10-20', '64.139999'], ['2017-10-20', '115.809998']]","[['2017-08-28', '66.236092'], ['2017-08-28', '51.810001'], ['2017-08-28', '32.072079'], ['2017-08-28', '161.470001'], ['2017-08-28', '100.709999'], ['2017-08-28', '48.930000'], ['2017-08-28', '112.570000']]","[['2017-08-02', '66.890717'], ['2017-08-02', '52.587509'], ['2017-08-02', '32.310307'], ['2017-08-02', '156.525330'], ['2017-08-02', '103.145309'], ['2017-08-02', '50.779999'], ['2017-08-02', '110.879997']]"
5,"['ENR', 'PG', 'CAKE', 'DRI', 'ESV', 'TRTN']","['UNP', 'ADBE', 'SNDR']",20170721,BlackBerry Is Correctly Priced - Cramer's Lightning Round (7/20/17),20180121,"[['2017-07-21', '104.243263'], ['2017-07-21', '149.520004'], ['2017-07-21', '20.906282']]","[['2017-10-20', '113.209999'], ['2017-10-20', '175.479996'], ['2017-10-20', '25.590000']]","[['2017-08-24', '103.964882'], ['2017-08-24', '150.809998'], ['2017-08-24', '21.385281']]","[['2017-07-31', '102.364197'], ['2017-07-31', '146.490005'], ['2017-07-31', '21.574884']]"
6,['SIG'],"['UPS', 'SUPN', 'MCK', 'APO', 'CHGG']",20170719,Chegg Is Not Done Going Up - Cramer's Lightning Round (7/18/17),20180119,"[['2017-07-19', '112.155716'], ['2017-07-19', '43.549999'], ['2017-07-19', '164.469269'], ['2017-07-19', '27.202108'], ['2017-07-19', '13.860000']]","[['2017-10-20', '119.650002'], ['2017-10-20', '42.325001'], ['2017-10-20', '150.660004'], ['2017-10-20', '32.119999'], ['2017-10-20', '15.880000']]","[['2017-08-22', '114.599998'], ['2017-08-22', '46.299999'], ['2017-08-22', '147.937531'], ['2017-08-22', '29.459999'], ['2017-08-22', '15.040000']]","[['2017-07-27', '106.994110'], ['2017-07-27', '41.099998'], ['2017-07-27', '162.154617'], ['2017-07-27', '27.555637'], ['2017-07-27', '14.270000']]"
7,['EXEL'],"['CCL', 'EZU', 'MGM', 'NWL', 'DATA', 'GRPN', 'LYG']",20170718,Tableau Software Is On Fire - Cramer's Lightning Round (7/17/17),20180118,"[['2017-07-18', '66.359024'], ['2017-07-18', '41.299999'], ['2017-07-18', '32.444660'], ['2017-07-18', '53.592934'], ['2017-07-18', '63.759998'], ['2017-07-18', '3.940000'], ['2017-07-18', '3.506245']]","[['2017-10-20', '65.870003'], ['2017-10-20', '43.424999'], ['2017-10-20', '30.980101'], ['2017-10-20', '40.270000'], ['2017-10-20', '78.699997'], ['2017-10-20', '4.755000'], ['2017-10-20', '3.620000']]","[['2017-08-21', '68.098770'], ['2017-08-21', '41.450001'], ['2017-08-21', '31.009321'], ['2017-08-21', '48.238617'], ['2017-08-21', '70.269997'], ['2017-08-21', '3.990000'], ['2017-08-21', '3.380000']]","[['2017-07-26', '66.309311'], ['2017-07-26', '41.689999'], ['2017-07-26', '33.760387'], ['2017-07-26', '52.498184'], ['2017-07-26', '64.980003'], ['2017-07-26', '3.760000'], ['2017-07-26', '3.594886']]"
8,"['KMI', 'MMP']","['ARNA', 'WGO', 'INFO', 'BMO', 'MO', 'SRE', 'XLNX']",20170714,Bank Of Montreal Is A Good Conservative Bank - Cramer's Lightning Round (7/13/17),20180114,"[['2017-07-14', '24.280001'], ['2017-07-14', '35.299999'], ['2017-07-14', '44.759998'], ['2017-07-14', '75.889427'], ['2017-07-14', '73.149422'], ['2017-07-14', '111.358276'], ['2017-07-14', '65.886726']]","[['2017-10-20', '27.230000'], ['2017-10-20', '47.500099'], ['2017-10-20', '44.040001'], ['2017-10-20', '78.276604'], ['2017-10-20', '64.769997'], ['2017-10-20', '113.798103'], ['2017-10-20', '72.220001']]","[['2017-08-17', '20.580000'], ['2017-08-17', '33.900002'], ['2017-08-17', '46.220001'], ['2017-08-17', '72.360001'], ['2017-08-17', '63.621105'], ['2017-08-17', '114.972580'], ['2017-08-17', '61.320000']]","[['2017-07-24', '24.340000'], ['2017-07-24', '35.450001'], ['2017-07-24', '45.700001'], ['2017-07-24', '76.255951'], ['2017-07-24', '71.873047'], ['2017-07-24', '112.529945'], ['2017-07-24', '63.907642']]"
9,"['AKS', 'NUE', 'ESRX']","['ATNX', 'STM', 'NVDA', 'SBUX']",20170713,Hold On To Starbucks - Cramer's Lightning Round (7/12/17),20180113,"[['2017-07-13', '18.719999'], ['2017-07-13', '15.730661'], ['2017-07-13', '160.488708'], ['2017-07-13', '58.117645']]","[['2017-10-20', '17.139999'], ['2017-10-20', '19.930000'], ['2017-10-20', '197.273407'], ['2017-10-20', '54.365002']]","[['2017-08-16', '16.610001'], ['2017-08-16', '16.986723'], ['2017-08-16', '165.004715'], ['2017-08-16', '53.500000']]","[['2017-07-21', '18.440001'], ['2017-07-21', '16.388599'], ['2017-07-21', '167.952133'], ['2017-07-21', '57.719440']]"
10,"['FTR', 'SPH', 'STNG']","['INCY', 'ALXN', 'DIS']",20170712,Disney Is A Long-Term Buy - Cramer's Lightning Round (7/11/17),20180112,"[['2017-07-12', '133.220001'], ['2017-07-12', '124.940002'], ['2017-07-12', '104.379997']]","[['2017-10-20', '113.980003'], ['2017-10-20', '139.205002'], ['2017-10-20', '99.277496']]","[['2017-08-15', '126.370003'], ['2017-08-15', '135.210007'], ['2017-08-15', '101.510002']]","[['2017-07-20', '133.789993'], ['2017-07-20', '129.809998'], ['2017-07-20', '107.360001']]"
11,"['MAT', 'HAS', 'MZOR', 'CARA']","['GOOS', 'RTN']",20170711,Raytheon Has A Lot Of Upside - Cramer's Lightning Round (7/10/17),20180111,"[['2017-07-11', '19.049999'], ['2017-07-11', '165.841873']]","[['2017-10-20', '20.780001'], ['2017-10-20', '188.550003']]","[['2017-08-14', '19.110001'], ['2017-08-14', '179.573242']]","[['2017-07-19', '19.450001'], ['2017-07-19', '168.261536']]"
12,"['ON', 'AVGO', 'GNC', 'UA', 'NKE', 'ORLY', 'AMZN']","['NVCR', 'NEE', 'IDXX', 'AVAV', 'PETS', 'GD', 'PTLA']",20170710,NovoCure Is A Buy - Cramer's Lightning Round (7/7/17),20180110,"[['2017-07-10', '18.100000'], ['2017-07-10', '140.110931'], ['2017-07-10', '161.509995'], ['2017-07-10', '39.380001'], ['2017-07-10', '40.341522'], ['2017-07-10', '200.270676'], ['2017-07-10', '59.630001']]","[['2017-10-20', '18.200001'], ['2017-10-20', '153.520004'], ['2017-10-20', '164.490005'], ['2017-10-20', '52.610001'], ['2017-10-20', '37.020000'], ['2017-10-20', '213.369995'], ['2017-10-20', '50.480000']]","[['2017-08-11', '18.299999'], ['2017-08-11', '146.220840'], ['2017-08-11', '153.020004'], ['2017-08-11', '38.310001'], ['2017-08-11', '47.759998'], ['2017-08-11', '197.103302'], ['2017-08-11', '55.680000']]","[['2017-07-18', '18.750000'], ['2017-07-18', '140.567947'], ['2017-07-18', '165.529999'], ['2017-07-18', '38.450001'], ['2017-07-18', '39.943188'], ['2017-07-18', '200.619278'], ['2017-07-18', '64.930000']]"
